field_name,data_type,description,example,usage
customerID,string,"Mã khách hàng duy nhất để định danh từng thuê bao","7590-VHVEG","Identifier, thường không dùng làm feature trực tiếp"
gender,string,"Giới tính của khách hàng","Male","Feature có thể qua mã hóa"
SeniorCitizen,integer,"Khách hàng thuộc nhóm người cao tuổi (0=No, 1=Yes)",1,"Feature nhị phân"
Partner,string,"Khách hàng có đối tác/partner hay không","Yes","Feature danh mục"
Dependents,string,"Khách hàng có người phụ thuộc hay không","No","Feature danh mục"
tenure,integer,"Số tháng khách hàng đã sử dụng dịch vụ","12","Feature số liên tục"
PhoneService,string,"Khách hàng có sử dụng dịch vụ điện thoại hay không","Yes","Feature danh mục"
MultipleLines,string,"Khách hàng có nhiều đường line hay không","No phone service","Feature danh mục"
InternetService,string,"Loại hình internet đang dùng","Fiber optic","Feature danh mục"
OnlineSecurity,string,"Khách hàng có gói bảo mật trực tuyến không","No","Feature danh mục"
OnlineBackup,string,"Khách hàng có gói sao lưu trực tuyến không","Yes","Feature danh mục"
DeviceProtection,string,"Khách hàng có gói bảo vệ thiết bị không","No","Feature danh mục"
TechSupport,string,"Khách hàng có gói hỗ trợ kỹ thuật không","No","Feature danh mục"
StreamingTV,string,"Khách hàng có đăng ký truyền hình trực tuyến không","Yes","Feature danh mục"
StreamingMovies,string,"Khách hàng có đăng ký xem phim trực tuyến không","No","Feature danh mục"
Contract,string,"Loại hợp đồng thuê bao","Month-to-month","Feature danh mục"
PaperlessBilling,string,"Khách hàng có sử dụng hóa đơn điện tử không","Yes","Feature danh mục"
PaymentMethod,string,"Phương thức thanh toán","Electronic check","Feature danh mục"
MonthlyCharges,float,"Chi phí hàng tháng của khách hàng","89.55","Feature số liên tục"
TotalCharges,float,"Tổng chi phí tích lũy của khách hàng","1889.5","Feature số liên tục cần kiểm tra dữ liệu rỗng"
Churn,string,"Trạng thái rời mạng của khách hàng (nhãn mục tiêu)","Yes","Target label, Yes/No"
